Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Envy isn't attractive.,theon greyjoy,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What envy?,yara greyjoy,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You should be proud of your brother's achievement. I took the great castle of Winterfell with twenty men.,theon greyjoy,18
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You're a great warrior. I saw the bodies above your gates. Which one gave you the tougher fight, the cripple or the six-year-old?",yara greyjoy,25
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I treated the Stark boys with honor, and they repaid me with treachery.",theon greyjoy,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You treated them with honor? By butchering them?,yara greyjoy,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Before I had to kill them- I treated them-,theon greyjoy,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You seized their home, as is your right. We're Ironborn, we take what we need.",yara greyjoy,15
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Exactly.,theon greyjoy,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Then you made them prisoners in their home and they ran away. Is that treachery? I'd call it bravery.,yara greyjoy,19
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,They made me a promise,theon greyjoy,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Your little boy prisoners made you a promise and you got mad when they broke it? Are you the dumbest cunt alive?,yara greyjoy,22
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Don't call me,theon greyjoy,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A cunt. A dumb cunt who killed the only two Starks in Winterfell. You know how valuable those boys were?,yara greyjoy,20
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"If I hadn't killed them, the Northerners would think me weak.",theon greyjoy,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You are weak. And you're stupid.,yara greyjoy,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'm warning you.,theon greyjoy,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Go on, then. Warn me.",yara greyjoy,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You haven't brought enough men. How am I supposed to defend Winterfell with just this lot?,theon greyjoy,16
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You're not. I've come to bring you home. Father wants a word.,yara greyjoy,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Is this a joke? Winterfell is the heart of the North.,theon greyjoy,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Aye, it is, hundreds of miles from the sea. We're islanders, baby brother. Had you forgotten that? Our power comes from our ships. And now that you've decorated your walls with the bodies of the Stark boys, every man in the North wants to see you hanged. When Robb Stark finds out-",yara greyjoy,52
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He won't find out. We've killed all the ravens. We have all the horses. I've taken Winterfell. And I will keep Winterfell.,theon greyjoy,22
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Leave us.,yara greyjoy,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Theon, you're my blood. We both loved our mother. We both endured our father. Come home with me. Don't die here alone.",yara greyjoy,22
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I don't intend to die.,theon greyjoy,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You were a terrible baby, do you know that? Bawling all the time, never sleeping. And one night, you just wouldn't shut up, screaming like a dying pig. I walked over to your crib, I looked down at you. I wanted to strangle you. And you looked up at me and you stopped screaming. You smiled at me. Don't die so far from the sea.",yara greyjoy,65
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I've brought you a present, Lord of Bones.",ygritte,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I already got one crow. Don't need two.,lord of bones,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Mance will want to question this one. Knows all about where the crows are and what they're planning.,ygritte,18
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The Halfhand knows more. This one is just a little boy. Gut him.,lord of bones,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He could have killed me half a dozen times.,ygritte,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And now he wishes he did. Gut him.,lord of bones,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He's a bastard of Winterfell, Ned Stark's son.",ygritte,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Mance will want him.,ygritte,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What does Mance want with a dead man's bastard?,lord of bones,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I don't know. I think he'll want to decide for himself.,ygritte,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He runs, I'll chop his balls off.",lord of bones,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He runs, I'll do it meself.",ygritte,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"We're even now, Jon Snow.",ygritte,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I couldn't do it. I had the sword on her neck, I just couldn't-",jon snow,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I know.,qhorin,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The others?,jon snow,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"When you didn't come back, we went looking for you. We found your tracks fast enough. But they found us before we found you.",qhorin,24
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,They died because of me.,jon snow,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,See that it wasn't for nothing.,qhorin,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"All right, up, lad.",wildling,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Come on, on your feet, now. Move it.",wildling,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Is she beautiful?,talisa,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I've never met her.,robb stark,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What's her name?,talisa,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Frey, I suppose. I don't know her first name.",robb stark,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'm sure you'll be very happy.,talisa,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And you're marrying her for a bridge?,talisa,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,An important bridge.,robb stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Ah.,talisa,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"It was before they killed my father. I still thought I could march south and rescue him in time, but only if I crossed that bridge.",robb stark,26
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"When I speak to people from the North, they all loved your father.",talisa,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He was the best man I ever met. I know children always think that about their fathers, but",robb stark,18
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Children do not always think that about their fathers, believe me.",talisa,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He once told me that being a lord is like being a father, except you have thousands of children and you worry about all of them. The farmers plowing the fields are yours to protect. The charwomen scrubbing the floors, yours to protect. The soldiers you order into battle. He told me he woke with fear in the morning and went to bed with fear in the night. I didn't believe him. I asked him, ""How can a man be brave if he's afraid?"" ""That is the only time a man can be brave,"" he told me.",robb stark,97
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I wish I could have met him.,talisa,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He would have liked you.,robb stark,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Most lords worry more about their gold and their glory than the charwomen scrubbing their floors.,talisa,16
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He didn't care much about gold or glory.,robb stark,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And you? You think I'm fighting this war so they'll sing songs about me? I want to go home. I want the men following me to go home.,talisa,28
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Then why don't you?,talisa,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Because we'll never be safe until the Lannisters are defeated. And because I believe in justice.,robb stark,16
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Chopping off Joffrey's head, you mean.",talisa,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,That would be a start.,robb stark,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Your Grace, milady. The Kingslayer, he escaped in the night.",rider,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,How? How?,robb stark,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Tell me this isn't true.,robb stark,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Why?,robb stark,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,For the girls.,catelyn stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You betrayed me.,robb stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Robb-,catelyn stark,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,No! You knew I would not allow it and you did it anyway.,robb stark,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Bran and Rickon are captives in Winterfell. Sansa and Arya are captives in King's Landing. I have five children, and only one of them is free.",catelyn stark,26
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I lost one son fighting by your son's side. I lost another to the Kingslayer, strangled with a chain. You commit treason because your children are prisoners? I would carve out my heart and offer it to the Father, if he would let my sons wake from their graves and step into a prison cell.",rickard karstark,55
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I grieve for your sons, my lord.",catelyn stark,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I don't want your grief. I want my vengeance. And you stole it from me.,rickard karstark,15
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Killing Jaime Lannister would not buy life for your children, but returning him to King's Landing may buy life for mine.",catelyn stark,21
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Jaime Lannister has played you for a fool. You've weakened our position. You've brought discord into our camp. And you did it all behind my back. Make sure she's guarded day and night.,robb stark,33
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Robb. How many men did we send in pursuit of the Kingslayer?,catelyn stark,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Forty, Your Grace.",soldier,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Send another forty with our fastest horses.,robb stark,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Robb.,catelyn stark,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Damn.,jaime lannister,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You're much uglier in daylight. What's your name? I'm Jaime Lannister of Casterly Rock, son of Tywin.",jaime lannister,17
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A captive knight has a right to know his captor's identity.,jaime lannister,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Brienne of Tarth.,brienne,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Tarth, Tarth, Tarth. Crescent moons and starbursts. Lord Selwyn Tarth. Your father. Do you have any brothers and sisters, my lady? It's a long way to King's Landing. Might as well get to know one another.",jaime lannister,36
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Have you known many men? I suppose not. Women? Horses? Ah.,jaime lannister,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I didn't mean to give offense, my lady. Forgive me.",jaime lannister,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Your crimes are past forgiveness, Kingslayer.",brienne,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Why do you hate me so much? Have I ever harmed you?,jaime lannister,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You've harmed others, those you were sworn to protect, the weak, the innocent.",brienne,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Has anyone ever told you you're as boring as you are ugly?,jaime lannister,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You will not provoke me to anger.,brienne,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I already have. Look at you. You're ready to chop my head off. Do you think you could? Do you think you could beat me in a fair fight?,jaime lannister,29
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I've never seen you fight.,brienne,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The answer is no. There are three men in the kingdoms who might have a chance against me. You're not one of them.,jaime lannister,23
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,All my life men like you have sneered at me. And all my life I've been knocking men like you into the dust.,brienne,23
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"If you're so confident, unlock my chains. Let's see what happens.",jaime lannister,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Do you take me for an idiot? In!,brienne,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I took you for a fighter, a man Pardon. Woman of honor. Was I wrong? You're afraid.",jaime lannister,17
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Maybe one day we'll find out, Kingslayer.",brienne,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,King's Landing will fall an hour after Stannis lands his force. It's not too late for King Joffrey and Cersei and the court to ride west to safety.,kevan lannister,28
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Surrender the Iron Throne?,tywin lannister,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Better than seeing their heads mounted on the city gates. Stannis will execute them all.,kevan lannister,15
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"No, a king who runs will not be king for long. He's a Lannister. He'll stand and fight. Stannis, two days from the capital and the wolf at my doorstep.",tywin lannister,30
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The scouts assure us Robb Stark remains north of Ashemark.,kevan lannister,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Ha! The last time the scouts assured us of Stark's movement, he lured us into a trap. Which is why my son is his prisoner.",tywin lannister,25
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Too close to Casterly Rock.,tywin lannister,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He sent a splinter force to recapture Winterfell. The Greyjoys have done us a great favor. Stark won't risk marching on Casterly Rock until he's at full force.,kevan lannister,28
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He's a boy and he's never lost a battle. He'll risk anything at any time because he doesn't know enough to be afraid.,tywin lannister,23
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"We'll ride at nightfall. I want a full night's march before he knows we're on the move. Clegane, you'll maintain a garrison here at Harrenhal. Track down this brotherhood and destroy them. The girl has proven herself a good servant. She'll stay on with you. See that he doesn't get drunk in the evenings. He's poor company when he's sober, but he's better at his work.",tywin lannister,66
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You've got some questions to answer.,guard,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Who killed Ser Amory?,man,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I don't know! Please!,man,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Give me the name. Take this one out for the crows.,man,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I told you, I don't know. Please.",man,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Look, it's Yoren's little cunt. Used to be a boy, now it's a girl.",rorge,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Where's Jaqen?,arya stark,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Don't care. Where's your stick now, bitch? I promised to fuck you with it.",rorge,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Come on, time to kill some wolves.",guard,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"You need sour cherries to make it right. And the secret is you dry the stones, and then you break them with a mallet. That's where the real flavor is. You crush 'em up real fine. And then when you're finished, you sprinkle them over the piecrust.",hot pie,47
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,How would I know?,hot pie,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I need him now. Lord Tywin's marching tonight.,arya stark,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You need him?,gendry baratheon,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He's helping me.,arya stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I saw him.,hot pie,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Where?,arya stark,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Ow!,hot pie,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,They went riding out the gates a few hours ago.,hot pie,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,On patrol. Let go of my ears.,hot pie,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What do you want with him anyway?,hot pie,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Mance is gonna march on the Wall. When he does, one brother inside his army will be worth a thousand fighting against it.",quorin,23
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,They'll never trust me.,jon snow,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,They might. If you do what needs to be done.,quorin,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What?,jon snow,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,How does it feel knowing those men all died so you could skip through the snow with your little savage girl?,quorin,21
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I didn't.,jon snow,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"I should have known better, trusting a traitor's bastard.",quorin,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He's not yours to kill, crow.",lord of bones,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Do you have to do that here?,tyrion lannister,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I like to keep me hands clean.,bronn,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Yes, but do you have to do it here?",tyrion lannister,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You should start wearing the gold cloak.,tyrion lannister,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I don't want to wear a gold cloak.,bronn,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You're commander of the City Watch. You shouldn't be dressed like a common,tyrion lannister,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"A cloak slows you down in a fight. Makes it hard to move quietly. And the gold catches the light, so you're nice and easy to spot at night.",bronn,29
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Well, you're not sneaking through alleyways any longer. You're supposed to stand out.",tyrion lannister,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,We had a deal and wearing a gold cloak wasn't part of it.,bronn,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Fine, fine. No gold cloak.",tyrion lannister,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What?,tyrion lannister,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What?,bronn,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What? What? Why are you staring at me?,tyrion lannister,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You don't want me cleaning me nails. You don't want me looking your way. Why am I here?,bronn,18
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,To help me plan the defense of King's Landing.,tyrion lannister,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Stannis will be here any day.,tyrion lannister,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And one of these explains how to beat him?,bronn,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"An History of the Great Sieges of Westeros. "" By Archmaester Shevelathin. Shevelatesh.",tyrion lannister,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Chevalteesh. I'd swap all your books for a few good archers.,bronn,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,My Lord Hand. Commander. I must compliment you on the gold cloaks' performance these last few weeks. Did you know there has been a marked drop in thievery?,varys,28
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I did not know. And how did you accomplish this marked drop in thievery?,tyrion lannister,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Me and the lads rounded up all the known thieves.,bronn,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,For questioning?,tyrion lannister,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,No. It's just the unknown thieves we need to worry about now.,bronn,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,We talked about this.,tyrion lannister,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Aye, we talked about it. Have you ever been in a city under siege? Maybe this part's not in your books. See, it's not the fighting that kills most people. It's the starving. Foodo s worth more than gold. Noble ladies sell their diamonds for a sack of potatoes. Things get bad enough, the poor start eating each other.",bronn,59
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"The thieves, they love a siege. Soon as the gates are sealed, they steal all the food. By the time it's all over, they're the richest men in town.",bronn,29
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Given the circumstances, my lord, I believe extreme measures are warranted.",varys,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Ah. ""The Great Sieges of Westeros."" Thrilling subject. Shame Archmaester Ch'Vyalthan wasn't a better writer.",varys,15
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Stannis knows King's Landing. He knows where the walls are strongest, and he knows which gates are weakest. The Mud Gate. A good ram will batter it down in minutes, and it's only 50 yards from the water. That's where he'll land.",tyrion lannister,42
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"And if Stannis does attack the Mud Gate, what is our plan?",varys,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,We could throw books at his men.,bronn,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,We don't have that many books.,varys,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"We don't have that many men, either.",bronn,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What do we have?,varys,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Pig shit.,tyrion lannister,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'm not cut out for this sort of work.,sam tarly,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I always imagined meself doing something much worse.,'dolorous' edd,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,We're digging latrine pits at the end of the world. I can't imagine anything much worse.,grenn,16
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You lack imagination.,'dolorous' edd,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Where do you think Jon is right now?,sam tarly,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He went off with the Halfhand. He didn't come back. A betting man would go with dead.,'dolorous' edd,17
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"He's not dead. No, Jon's a great fighter.",sam tarly,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Well, he's better than me and a lot better than you.",grenn,11
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He's got a Valyrian steel sword.,sam tarly,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,So did his father.,eddision,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And Qhorin Halfhand is the greatest ranger alive.,sam tarly,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Great rangers never get old is the problem. Shit ones neither. It's them in the middle that last a long time.,'dolorous' edd,21
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,What in seven hells is that?,grenn,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The First Men made these marks. Help me with it.,sam tarly,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Look.,grenn,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"If you find something you're not supposed to, best thing to do is pretend you've never seen it.",'dolorous' edd,18
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,That's a Night's Watch cloak.,sam tarly,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,It's been here a long time.,grenn,6
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Oh. Must be dragonglass.,sam tarly,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Dragonglass?,grenn,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,The maesters call it obsidian.,sam tarly,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Why would a brother hide it here?,grenn,7
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I expect it's 'cause he wanted somebody to find it.,'dolorous' edd,10
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Mind where you're going.,soldier,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'm sorry. I'll-,arya stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Where were you?,arya stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A man has patrol duty.,jaqen hghar,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Tywin Lannister was right here, and now he's gone.",arya stark,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A girl owes one more name. The Red God demands it. Give the man a name.,jaqen hghar,16
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,How long after I give you the name does it take you to kill someone?,arya stark,15
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"A minute, an hour, a month. Death is certain, the time is not.",jaqen hghar,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,He's taking his army to attack my brother. I need him dead right now.,arya stark,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,This a man cannot do.,jaqen hghar,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,You promised you'd help me.,arya stark,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Help was not promised, lovely girl. Only death. There must be others. Give a name, any name.",jaqen hghar,17
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,And you'll kill them? Anybody?,arya stark,5
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"By the Seven New Gods and the Old Gods beyond counting, I swear it.",jaqen hghar,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,All right. Jaqen H'ghar.,arya stark,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A girl gives a man his own name?,jaqen hghar,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,That's right.,arya stark,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Gods are not mocked. This is no joking thing.,jaqen hghar,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'm not joking. A man can go kill himself.,arya stark,9
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Un-name me.,jaqen hghar,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,No.,arya stark,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Please?,jaqen hghar,1
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,I'll un-name you.,arya stark,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Thank you.,jaqen hghar,2
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,If you help me and my friends escape.,arya stark,8
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,This would require more than one life. This is not part of our bargain.,jaqen hghar,14
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Fine, Jaqen H'ghar.",arya stark,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"A girl lacks honor. If I do this thing, a girl must obey.",jaqen hghar,13
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A girl will obey.,arya stark,4
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,A girl and her friends will walk through the gate at midnight.,jaqen hghar,12
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,"Thank you, Podrick.",tyrion lannister,3
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,Odd little boy.,cersei lannister,3
