Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2011-04-17,Season 1,Episode 1,Winter is Coming,Better a quick death. They won't last without their mother.,eddard stark,10
2011-04-17,Season 1,Episode 1,Winter is Coming,Right. Give it here.,theon greyjoy,4
2011-04-17,Season 1,Episode 1,Winter is Coming,NO!,bran stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Put away your blade.,robb stark,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"I take orders from your father, not you.",theon greyjoy,8
2011-04-17,Season 1,Episode 1,Winter is Coming,"Please, father!",bran stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,"I'm sorry, Bran.",eddard stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,jon snow,27
2011-04-17,Season 1,Episode 1,Winter is Coming,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",eddard stark,19
2011-04-17,Season 1,Episode 1,Winter is Coming,What about you?,bran stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,I'm not a Stark. Get on.,jon snow,6
2011-04-17,Season 1,Episode 1,Winter is Coming,What is it?,robb stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,"The runt of the litter. That one's yours, Snow.",theon greyjoy,9
2011-04-17,Season 1,Episode 1,Winter is Coming,"As your brother, I feel it's my duty to warn you",jaime lannister,11
2011-04-17,Season 1,Episode 1,Winter is Coming,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",cersei lannister,30
2011-04-17,Season 1,Episode 1,Winter is Coming,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",jaime lannister,22
2011-04-17,Season 1,Episode 1,Winter is Coming,What if Jon Arryn told someone?,cersei lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,But who would he tell?,jaime lannister,5
2011-04-17,Season 1,Episode 1,Winter is Coming,My husband.,cersei lannister,2
2011-04-17,Season 1,Episode 1,Winter is Coming,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",jaime lannister,63
2011-04-17,Season 1,Episode 1,Winter is Coming,You should be the Hand of the king.,cersei lannister,8
2011-04-17,Season 1,Episode 1,Winter is Coming,"That's an honor I can do without. Their days are too long, their lives are too short.",jaime lannister,17
2011-04-17,Season 1,Episode 1,Winter is Coming,All these years and I still feel like an outsider when I come here.,catelyn stark,14
2011-04-17,Season 1,Episode 1,Winter is Coming,You have five northern children. You're not an outsider.,eddard stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,I wonder if the old gods agree.,catelyn stark,7
2011-04-17,Season 1,Episode 1,Winter is Coming,It's your gods with all the rules.,eddard stark,7
2011-04-17,Season 1,Episode 1,Winter is Coming,"I am so sorry, my love.",catelyn stark,6
2011-04-17,Season 1,Episode 1,Winter is Coming,Tell me.,eddard stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,catelyn stark,24
2011-04-17,Season 1,Episode 1,Winter is Coming,Your sister. The boy …,eddard stark,5
2011-04-17,Season 1,Episode 1,Winter is Coming,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,catelyn stark,28
2011-04-17,Season 1,Episode 1,Winter is Coming,"He's coming this far North, there's only one thing he's after.",eddard stark,11
2011-04-17,Season 1,Episode 1,Winter is Coming,"You can always say no, Ned.",catelyn stark,6
2011-04-17,Season 1,Episode 1,Winter is Coming,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,catelyn stark,15
2011-04-17,Season 1,Episode 1,Winter is Coming,I'm told he drinks all night.,maester luwin,6
2011-04-17,Season 1,Episode 1,Winter is Coming,How much could he possibly drink? A man of his … stature.,catelyn stark,12
2011-04-17,Season 1,Episode 1,Winter is Coming,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,maester luwin,14
2011-04-17,Season 1,Episode 1,Winter is Coming,"In any case, candles.",catelyn stark,4
2011-04-17,Season 1,Episode 1,Winter is Coming,Why's your mother so dead-set on us getting pretty for the king?,jon snow,13
2011-04-17,Season 1,Episode 1,Winter is Coming,"It's for the queen, I bet. I hear she's [sleek as a mink?]",theon greyjoy,13
2011-04-17,Season 1,Episode 1,Winter is Coming,I hear the prince is a right royal prick.,robb stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,Think of all those southern girls he gets to stab with his right royal prick.,theon greyjoy,15
2011-04-17,Season 1,Episode 1,Winter is Coming,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",robb stark,18
2011-04-17,Season 1,Episode 1,Winter is Coming,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",catelyn stark,11
2011-04-17,Season 1,Episode 1,Winter is Coming,I saw the king! He's got hundreds of people!,bran stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,How many times have I told you,catelyn stark,7
2011-04-17,Season 1,Episode 1,Winter is Coming,But he's coming right now! Down our road!,bran stark,8
2011-04-17,Season 1,Episode 1,Winter is Coming,I want you to promise me,catelyn stark,6
2011-04-17,Season 1,Episode 1,Winter is Coming,I promise.,bran stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,D'you know what?,catelyn stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,What?,bran stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,catelyn stark,20
2011-04-17,Season 1,Episode 1,Winter is Coming,"Where's Arya? Sansa, where's your sister?",catelyn stark,6
2011-04-17,Season 1,Episode 1,Winter is Coming,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",eddard stark,15
2011-04-17,Season 1,Episode 1,Winter is Coming,Move!,arya stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Your Grace.,eddard stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,You've got fat.,robert baratheon,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Cat!,robert baratheon,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Your Grace.,catelyn stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,Nine years. Why haven't I seen you? Where the hell have you been?,robert baratheon,13
2011-04-17,Season 1,Episode 1,Winter is Coming,"Guarding the North for you, Your Grace. Winterfell is yours.",eddard stark,10
